0,1,2,3,4
100 Neutral,210,256,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0100
110 Cool,200,210,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0110
120 Neutral,197,200,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0120
130 Warm,194,197,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0130
140 Warm,190,194,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0140
150 Neutral,187,190,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0150
160 Warm Peach,183,187,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0160
170 Cool,180,183,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0170
180 Warm,176,180,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0180
190 Neutral,173,176,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0190
200 Cool,170,173,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0200
210  Neutral,167,170,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0210
220 Warm Peach,165,167,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0220
230 Neutral,163,165,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0230
240 Warm,160,163,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0240
250 Warm,158,160,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0250
260 Neutral,155,158,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0260
270 Warm,153,155,FENTY BEAUTY     Pro Filt'r Mattee Longwear Foundation,https://www.fentybeauty.com/pro-filtr/soft-matte-longwear-foundation/FB30006.html?dwvar_FB30006_color=FB0270
