0,1,2,3,4
005 Light Ivory,210,256,DIOR         Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2105179
010 Ivory - very light with neutral undertone,200,210,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037042
"""014 Fair Almond - very light with cool undertone",195,200,DIOR Diorskin Forever Undercover Foundation,"balances redness"""
015 Tender Beige - very light with neutral undertone,190,195,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037067
020 Light Beige - light with neutral undertone,185,190,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037075
021 Linen - light with warm yellow undertone,180,185,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037083
022 Cameo - light with cool pink undertone,175,180,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037091
023 Peach - light with Warm peach undertone,170,175,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037109
"""024 Soft Almond - light with cool undertone",165,170,DIOR Diorskin Forever Undercover Foundation,"balances redness"""
025 Soft Beige - light with neutral undertone,160,165,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037125
030 Medium Beige - light to medium with neutral undertone,156,160,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037133
031 Sable - light to medium with warm yellow undertone,152,156,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037141
032 Rosy Beige - light to medium with cool pink undertone,148,152,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037158
033 Beige Apricot - light to medium with warm peach undertone,144,148,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037166
034 Almond Beige - light to medium with cool undertone,140,144,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037174
035 Desert Beige - light to medium with neutral undertone,135,140,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037182
040 Honey Beige - medium with neutral undertone,130,135,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037190
041 Ochre - medium with warm yellow undertone,125,130,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037208
044 Dark Almond - medium with cool undertone,120,125,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037216
045 Hazel Beige - medium with neutral undertone,115,120,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037224
050 Dark Beige - medium to deep with neutral undertone,110,115,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037232
051 Praline - medium to deep with warm yellow undertone,105,110,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037240
060 Light Mocha - deep with neutral undertone,100,105,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037257
070 Dark Brown - dark to very deep with neutral undertone,90,100,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037265
080 Ebony - very deep with neutral undertone,0,90,DIOR Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products%20grid:p427506:product&skuId=2037273
