0,1,2,3,4
41 Light - Neutral Undertone,210,256,KAT VON D      Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818418
42 Light - Neutral Undertone,200,210,KAT VON D      Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398817
43 Light - Neutral Undertone,196,200,KAT VON D      Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818426
44 Light - Cool Undertone,192,196,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398858
45 Light - Neutral Undertone,188,192,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818434
45 Light - Warm Undertone,184,188,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501873
46 Light - Cool Undertone,180,184,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398841
47 Light - Neutral Undertone,176,180,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1751247
48 Light - Neutral Undertone,172,176,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398890
49 Light - Neutral Undertone,168,172,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501881
52 Medium - Neutral Undertone,164,168,KAT VON D       Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818442
52 Medium - Warm Undertone,160,164,KAT VON D      Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398874
53 Medium - Neutral Undertone,156,160,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818459
53 Medium - Warm Undertone,152,156,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501899
54 Medium - Cool Undertone,148,152,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818467
54 Medium - Neutral Undertone,144,148,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398882
56 Medium - Neutral Undertone,140,144,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398833
57 Medium - Warm Undertone,136,140,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501915
58 Medium - Neutral,132,136,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398866
58 Medium - Warm,128,132,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1818475
59 Medium - Neutral,124,128,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817568
62 Medium Warm,120,124,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398783
64 Medium Neutral,116,120,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1398825
65 Medium Warm,112,116,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817576
67 Deep Cool,108,112,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817584
71 Deep Warm,104,108,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501931
74 Deep Warm,100,104,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1501956
76 Deep Warm,90,100,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817592
78 Deep Neutral,80,90,KAT VON D     Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817600
81 Deep Cool,0,80,KAT VON D    Lock-It Foundation,https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=products%20grid:p311138:product&skuId=1817618
