0,1,2,3,4
41 Light - Neutral Undertone,210,256,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143923
42 Light - Neutral Undertone,200,210,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143931
43 Light - Neutral Undertone,196,200,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143949
44 Light - Cool Undertone,192,196,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143881
45 Light - Neutral Undertone,188,192,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143956
45 Light - Warm Undertone,184,188,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143964
46 Light - Cool Undertone,180,184,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143972
47 Light - Neutral Undertone,176,180,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143980
48 Light - Neutral Undertone,172,176,,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143899
49 Light - Neutral Undertone,168,172,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143998
52 Medium - Neutral Undertone,164,168,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144004
52 Medium - Warm Undertone,160,164,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144012
53 Medium - Neutral Undertone,156,160,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144020
53 Medium - Warm Undertone,152,156,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144038
54 Medium - Cool Undertone,148,152,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143907
54 Medium - Neutral Undertone,144,148,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2160703
56 Medium - Neutral Undertone,140,144,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144046
57 Medium - Warm Undertone,136,140,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144053
58 Medium - Neutral,132,136,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144061
58 Medium - Warm,128,132,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144079
59 Medium - Neutral,124,128,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144087
62 Medium Warm,120,124,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144095
64 Medium Neutral,116,120,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144103
65 Medium Warm,112,116,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144111
67 Deep Cool,108,112,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144129
71 Deep Warm,104,108,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144137
74 Deep Warm,100,104,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144145
76 Deep Warm,90,100,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144152
78 Deep Neutral,80,90,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2143915
81 Deep Cool,0,80,KAT VON D    Lock-It Foundation Mini,https://www.sephora.com/product/lock-it-foundation-mini-P438613?skuId=2144160
