0,1,2,3,4
R 210 Pink Alibaster,215,256,MAKE UP FOREVER              Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856285
Y 215 Yello Alibaster,200,215,MAKE UP FOREVER              Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856293
Y 225 Marble,193,200,MAKE UP FOREVER              Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856301
R240 Pink,187,193,MAKE UP FOREVER                    Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856319
Y245 Soft Sand,180,180,MAKE UP FOREVER                Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856327
R250 Beige Nude,163,180,MAKE UP FOREVER            Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856335
R300 Vanella,157,163,MAKE UP FOREVER                      Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856343
Y305 Soft Beige,152,157,MAKE UP FOREVER                           Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856350
R330 Warm Ivory,147,152,MAKE UP FOREVER                            Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856384
R370 Medium Beige,142,147,MAKE UP FOREVER               Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856392
Y405 Honey Golden,137,142,MAKE UP FOREVER                            Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856400
R410 Golden Beige,132,137,MAKE UP FOREVER                     Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products%20grid:p410512:product&skuId=1856400
Y415 Almond,127,132,MAKE UP FOREVER                          Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856418
R430 Hazelnut,122,127,MAKE UP FOREVER                     Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856426
Y445 Amber,116,122,MAKE UP FOREVER               Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856434
Y455 Praline,110,116,MAKE UP FOREVER            Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856442
Y505 Cognac,105,110,MAKE UP FOREVER                  Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856459
R510 Coffee,100,105,MAKE UP FOREVER                Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856467
R520 Cinnamon,90,100,MAKE UP FOREVER                  Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856467
R540 Dark,0,90,MAKE UP FOREVER                   Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?skuId=1856475
