0,1,2,3,4
Y205 Alibaster,210,256,MAKE UP FOREVER     Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106235
R 210 Pink Alibaster,200,210,MAKE UP FOREVER     Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106243
Y 215 Yello Alibaster,196,200,MAKE UP FOREVER     Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106250
Y 225 Marble,192,196,MAKE UP FOREVER     Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106268
R 230 Ivory,188,192,MAKE UP FOREVER     Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106276
Y 235 Ivory Beige,184,188,MAKE UP FOREVER     Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106284
Y245 Soft Sand,180,184,MAKE UP FOREVER     Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106292
Y255 Sand Beige,176,180,MAKE UP FOREVER     Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106300
R260 Pink Beige,172,176,MAKE UP FOREVER            Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106318
Y315 Sand,168,172,MAKE UP FOREVER               Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106326
Y325 Flesh,164,168,MAKE UP FOREVER                Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106342
R330 Warm Ivory,160,164,MAKE UP FOREVER                Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106359
Y335 Dark Sand,156,160,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106367
Y345 Natural Beige,152,156,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106375
Y355 Natural Beige,148,152,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106383
Y365 Desert,144,148,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106391
R370 Medium Beige,140,144,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106409
Y375 Golden Sand,136,140,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106417
Y405 Honey Golden,132,136,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106425
R410 Golden Beige,128,132,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106433
Y415 Almond,124,128,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106441
Y425 Honey,120,124,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106458
Y445 Amber,116,120,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106466
Y455 Praline,112,116,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106474
Y505 Cognac,108,112,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106482
R510 Coffee,104,108,MAKE UP FOREVER Matte Velvet Skin Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023:product&skuId=2106490
